2023-01-23,54221
2023-01-24,54052
2023-01-25,21512
2023-01-26,10897
2023-01-27,58698
2023-01-28,22877
2023-01-29,17796
2023-01-30,26311
2023-01-31,29022
2023-02-01,42877
2023-02-02,51081
2023-02-03,44763
2023-02-04,37600
2023-02-05,22351
2023-02-06,51962
2023-02-07,31985
2023-02-08,39584
2023-02-09,55899
2023-02-10,50865
2023-02-11,48771
2023-02-12,47884
2023-02-13,46014
2023-02-14,28350
2023-02-15,26534
2023-02-16,33680
2023-02-17,24439
2023-02-18,14566
2023-02-19,20556
2023-02-20,13678
2023-02-21,31810
2023-02-22,57253
2023-02-23,51260
2023-02-24,17704
2023-02-25,34890
2023-02-26,17276
2023-02-27,16769
2023-02-28,44094
2023-03-01,40370
2023-03-02,32277
2023-03-03,20217
2023-03-04,21314
2023-03-05,37407
2023-03-06,24034
2023-03-07,17818
2023-03-08,27206
2023-03-09,52586
2023-03-10,45355
2023-03-11,53111
2023-03-12,30326
2023-03-13,50283
2023-03-14,25633
2023-03-15,40108
2023-03-16,19175
2023-03-17,45275
2023-03-18,14358
2023-03-19,15036
2023-03-20,50648
2023-03-21,25519
2023-03-22,23203
2023-03-23,11688
2023-03-24,31848
2023-03-25,51504
2023-03-26,46429
2023-03-27,24084
2023-03-28,18092
2023-03-29,23582
2023-03-30,22187
2023-03-31,11821
2023-04-01,21964
2023-04-02,43962
2023-04-03,11258
2023-04-04,53546
2023-04-05,22575
2023-04-06,44558
2023-04-07,50955
2023-04-08,52267
2023-04-09,14172
2023-04-10,48717
2023-04-11,21703
2023-04-12,29929
2023-04-13,29750
2023-04-14,46838
2023-04-15,31008
2023-04-16,36631
2023-04-17,10509
2023-04-18,57385
2023-04-19,51867
2023-04-20,28223
2023-04-21,13538
2023-04-22,13855
2023-04-23,19717
2023-04-24,44165
2023-04-25,37186
2023-04-26,18331
2023-04-27,58110
2023-04-28,38906
2023-04-29,18470
2023-04-30,11085
2023-05-01,21136
2023-05-02,17276
2023-05-03,29359
2023-05-04,31377
2023-05-05,28735
2023-05-06,18785
2023-05-07,46505
2023-05-08,46671
2023-05-09,24709
2023-05-10,18264
2023-05-11,29669
2023-05-12,13431
2023-05-13,10995
2023-05-14,55229
2023-05-15,40636
2023-05-16,59140
2023-05-17,49244
2023-05-18,43548
2023-05-19,22753
2023-05-20,35309
2023-05-21,10888
2023-05-22,31923
2023-05-23,57521
2023-05-24,53421
2023-05-25,32806
2023-05-26,46740
2023-05-27,29195
2023-05-28,54461
2023-05-29,51523
2023-05-30,38092
2023-05-31,31237
2023-06-01,25879
2023-06-02,36684
2023-06-03,26206
2023-06-04,58991
2023-06-05,17170
2023-06-06,46453
2023-06-07,43630
2023-06-08,51942
2023-06-09,25033
2023-06-10,45624
2023-06-11,14992
2023-06-12,39263
2023-06-13,10938
2023-06-14,31743
2023-06-15,23173
2023-06-16,34628
2023-06-17,55992
2023-06-18,21122
2023-06-19,50292
2023-06-20,33568
2023-06-21,23549
2023-06-22,57597
2023-06-23,38347
2023-06-24,42087
2023-06-25,19908
2023-06-26,53361
2023-06-27,38485
2023-06-28,10774
2023-06-29,50838
2023-06-30,30978
2023-07-01,43272
2023-07-02,26094
2023-07-03,55959
2023-07-04,45832
2023-07-05,49263
2023-07-06,27941
2023-07-07,31839
2023-07-08,38454
2023-07-09,24786
2023-07-10,15830
2023-07-11,24124
2023-07-12,43512
2023-07-13,25268
2023-07-14,47595
2023-07-15,17529
2023-07-16,32631
2023-07-17,28276
2023-07-18,44888
2023-07-19,17974
2023-07-20,41548
2023-07-21,56807
2023-07-22,32304
2023-07-23,33505
2023-07-24,43507
2023-07-25,46842
2023-07-26,42896
2023-07-27,38431
2023-07-28,45086
2023-07-29,20707
2023-07-30,32422
2023-07-31,35839
2023-08-01,16770
2023-08-02,24240
2023-08-03,57149
2023-08-04,17211
2023-08-05,39113
2023-08-06,32924
2023-08-07,47763
2023-08-08,22990
2023-08-09,42421
2023-08-10,56928
2023-08-11,11858
2023-08-12,20480
2023-08-13,23557
2023-08-14,35193
2023-08-15,44958
2023-08-16,20454
2023-08-17,23751
2023-08-18,58057
2023-08-19,29204
2023-08-20,40677
2023-08-21,17351
2023-08-22,23219
2023-08-23,47181
2023-08-24,40842
2023-08-25,25665
2023-08-26,59739
2023-08-27,18662
2023-08-28,11313
2023-08-29,53591
2023-08-30,18857
2023-08-31,55996
2023-09-01,31051
2023-09-02,56758
2023-09-03,19265
2023-09-04,51474
2023-09-05,58502
2023-09-06,55649
2023-09-07,34171
2023-09-08,28785
2023-09-09,34482
2023-09-10,50561
2023-09-11,19877
2023-09-12,31945
2023-09-13,33505
2023-09-14,39362
2023-09-15,22698
2023-09-16,33024
2023-09-17,13911
2023-09-18,11033
2023-09-19,10291
2023-09-20,36681
2023-09-21,19914
2023-09-22,19738
2023-09-23,32174
2023-09-24,16346
2023-09-25,22712
2023-09-26,22091
2023-09-27,20816
2023-09-28,49416
2023-09-29,17142
2023-09-30,14467
2023-10-01,44882
2023-10-02,23049
2023-10-03,23215
2023-10-04,53528
2023-10-05,40655
2023-10-06,22478
2023-10-07,31306
2023-10-08,37503
2023-10-09,31632
2023-10-10,47963
2023-10-11,41148
2023-10-12,21617
2023-10-13,49063
2023-10-14,50714
2023-10-15,10381
2023-10-16,13248
2023-10-17,58525
2023-10-18,29437
2023-10-19,22258
2023-10-20,11406
2023-10-21,17354
2023-10-22,50161
2023-10-23,55245
2023-10-24,16627
2023-10-25,39136
2023-10-26,52551
2023-10-27,32468
2023-10-28,15395
2023-10-29,45053
2023-10-30,17785
2023-10-31,21765
2023-11-01,26142
2023-11-02,38935
2023-11-03,17742
2023-11-04,11926
2023-11-05,54216
2023-11-06,27274
2023-11-07,43806
2023-11-08,26094
2023-11-09,11972
2023-11-10,28695
2023-11-11,10892
2023-11-12,19464
2023-11-13,37392
2023-11-14,51897
2023-11-15,34031
2023-11-16,37924
2023-11-17,42740
2023-11-18,34770
2023-11-19,47643
2023-11-20,29893
2023-11-21,41083
2023-11-22,30890
2023-11-23,20969
2023-11-24,34305
2023-11-25,30481
2023-11-26,48798
2023-11-27,35514
2023-11-28,50601
2023-11-29,27294
2023-11-30,24661
2023-12-01,35098
2023-12-02,53242
2023-12-03,16418
2023-12-04,14696
2023-12-05,36415
2023-12-06,27968
2023-12-07,54830
2023-12-08,56409
2023-12-09,33468
2023-12-10,52022
2023-12-11,53556
2023-12-12,50913
2023-12-13,20619
2023-12-14,58667
2023-12-15,31215
2023-12-16,12212
2023-12-17,23786
2023-12-18,48875
2023-12-19,44587
2023-12-20,40618
2023-12-21,21907
2023-12-22,13681
2023-12-23,43578
2023-12-24,17164
2023-12-25,41785
2023-12-26,21980
2023-12-27,56328
2023-12-28,15787
2023-12-29,36454
2023-12-30,44034
2023-12-31,24996
2024-01-01,14838
2024-01-02,53719
2024-01-03,10104
2024-01-04,39616
2024-01-05,35189
2024-01-06,41258
2024-01-07,41170
2024-01-08,12637
2024-01-09,34028
2024-01-10,23644
2024-01-11,34251
2024-01-12,41191
2024-01-13,54563
2024-01-14,25864
2024-01-15,24086
2024-01-16,38387
2024-01-17,39810
2024-01-18,52984
2024-01-19,32098
2024-01-20,10531
2024-01-21,48018
2024-01-22,40466
2024-01-23,44215
2024-01-24,44019
2024-01-25,56234
2024-01-26,31490
2024-01-27,12294
2024-01-28,31197
2024-01-29,14545
2024-01-30,52206
2024-01-31,17483
2024-02-01,31007
2024-02-02,53958
2024-02-03,59036
2024-02-04,11294
2024-02-05,49218
2024-02-06,54285
2024-02-07,40501
2024-02-08,47962
2024-02-09,55099
2024-02-10,22284
2024-02-11,28947
2024-02-12,53717
2024-02-13,15605
2024-02-14,16483
2024-02-15,27631
2024-02-16,53387
2024-02-17,26749
2024-02-18,36152
2024-02-19,42833
2024-02-20,48404
2024-02-21,19003
